,title,price,link
10,"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","16,300",https://amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR49QPM9/ref=sr_1_14?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-14
11,"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey  ","62,990",https://amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_15?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-15
12,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","16,130",https://amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_3?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-3
13,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Thin and Light Metal Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel UHD Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG  ","30,990",https://amazon.in/Acer-i3-1215U-Windows-Graphics-AL15-52/dp/B0CY1Z82QW/ref=sr_1_16?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-16
14,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB RAM/512GB/Win11/Office 2021/Silver/1.7 kg), X1502ZA-EJ542WS  ","47,990",https://amazon.in/ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ542WS/dp/B0C5Y3JBC4/ref=sr_1_17?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-17
15,"Walker Thin & Light Laptop, (4GB Ram,128GB SSD) |14.1 inch FHD IPS Display |1920 *1080 Resolution | Gemini Lake N4020 | UHD Graphics 600| Mini-HDMI| Bluetooth| Webcam | Windows 11 Home | Cloud Silver  ","12,990",https://amazon.in/Walker-Display-Resolution-Graphics-Mini-HDMI/dp/B0CGVLLWT3/ref=sr_1_18?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-18
16,"ASUS Vivobook 14 Thin and Light Laptop, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS  ","34,990",https://amazon.in/ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK321WS/dp/B0CCP9PH92/ref=sr_1_19?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-19
17,"MSI Katana 15, Intel Core i7-13620H, 40CM FHD 144Hz Gaming Laptop (8GBx2/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 4060, GDDR6 8GB/Black/2.25Kg), B13VFK-296IN  ","94,990",https://amazon.in/MSI-i7-13620H-Windows-GeForce-B13VFK-296IN/dp/B0BTW2K2LN/ref=sr_1_20?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-20
18,"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/MSO 21/FHD+IR Camera/1Yr ADP Free/3 Mon Game Pass/Grey/1.4Kg), 83D2001GIN  ","1,09,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo4MDQ0NzQ2Mzc0OTE5OTM0OjE3MjcyNzI2Mjk6c3BfYnRmOjMwMDIwNzg2MDY4NjgzMjo6MDo6&url=%2FLenovo-IdeaPad-35-56cm-2-8K-OLED-83D2001GIN%2Fdp%2FB0CY2LDT1S%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2HKYWR7ULS4H7%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727272629%26sprefix%3Dlaptop%252Caps%252C193%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
19,"Lenovo ThinkBook 16 Intel 13th Gen Core i5 16"" (40.64cm) WUXGA 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Win 11 Home/Office 2021/Backlit Keyboard/Arctic Grey/1.7 Kg), 21KHA0J6IN  ","57,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo4MDQ0NzQ2Mzc0OTE5OTM0OjE3MjcyNzI2Mjk6c3BfYnRmOjMwMDE2NjY2NjE5ODEzMjo6MDo6&url=%2FLenovo-ThinkBook-Antiglare-Keyboard-21KHA0J6IN%2Fdp%2FB0CZ7BFQZL%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2HKYWR7ULS4H7%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727272629%26sprefix%3Dlaptop%252Caps%252C193%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
